epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.04128,0.95975,2.7397,1.29847,0.00422,0.97032,0.38947,0.25352,0.94482,2.74762,1.29282,0.00025722,0.00025722,0.00025722
2,9.40136,1.00191,1.99873,1.35852,0.60301,0.13082,0.35109,0.18318,1.47666,2.70771,1.84039,0.000523496,0.000523496,0.000523496
3,12.66,1.0846,1.69444,1.39579,0.41953,0.37903,0.40539,0.21425,1.23749,2.18161,1.58542,0.000784395,0.000784395,0.000784395
4,15.8518,1.05582,1.54463,1.36607,0.5732,0.66071,0.6777,0.41565,1.15494,2.11418,1.54405,0.00103992,0.00103992,0.00103992
5,18.8764,1.11956,1.58085,1.38254,0.5815,0.50274,0.55621,0.30954,1.29321,2.23506,1.69899,0.00129007,0.00129007,0.00129007
6,21.909,1.08786,1.41881,1.36309,0.63406,0.57209,0.58543,0.27194,1.67081,2.08169,2.32624,0.00135826,0.00135826,0.00135826
7,24.9983,1.0908,1.47832,1.353,0.51383,0.53363,0.4972,0.30387,1.22109,1.82366,1.52064,0.00134412,0.00134412,0.00134412
8,27.9176,1.03038,1.45031,1.32787,0.52903,0.5684,0.57583,0.30846,1.26833,2.66036,1.67358,0.00132997,0.00132997,0.00132997
9,30.8169,1.03713,1.33593,1.30875,0.58552,0.6139,0.55225,0.30313,1.45088,1.75175,1.86003,0.00131582,0.00131582,0.00131582
10,33.7816,1.07674,1.36167,1.32461,0.61259,0.64485,0.648,0.40032,1.27012,1.90257,1.59747,0.00130168,0.00130168,0.00130168
11,36.6762,1.07152,1.34187,1.32898,0.53696,0.54148,0.56415,0.28156,1.43377,1.96352,1.67931,0.00128753,0.00128753,0.00128753
12,39.7223,1.01353,1.29017,1.28979,0.53008,0.58485,0.52266,0.27663,1.46365,1.70451,1.69946,0.00127338,0.00127338,0.00127338
13,42.6281,0.97224,1.18718,1.27423,0.69705,0.58005,0.64035,0.36229,1.27185,1.5877,1.58466,0.00125923,0.00125923,0.00125923
14,45.5013,1.03121,1.21644,1.27845,0.71704,0.70308,0.76667,0.45859,1.25042,1.57451,1.58521,0.00124509,0.00124509,0.00124509
15,48.3923,0.96285,1.20337,1.24982,0.71264,0.68352,0.73077,0.38005,1.52831,1.76413,1.84476,0.00123094,0.00123094,0.00123094
16,51.2491,0.9966,1.18642,1.25497,0.63579,0.75747,0.75512,0.45,1.27899,1.42153,1.56388,0.00121679,0.00121679,0.00121679
17,54.1627,0.95396,1.11645,1.2339,0.80032,0.67813,0.76447,0.46402,1.31308,1.41663,1.64243,0.00120265,0.00120265,0.00120265
18,57.5442,1.00189,1.14863,1.29122,0.74963,0.74814,0.79275,0.48183,1.28266,1.30769,1.538,0.0011885,0.0011885,0.0011885
19,60.6151,0.95604,1.0412,1.24202,0.86798,0.71223,0.80329,0.52854,1.16908,1.2778,1.46476,0.00117435,0.00117435,0.00117435
20,63.8973,0.93084,1.0578,1.24746,0.69306,0.70935,0.72816,0.47634,1.28424,1.3817,1.57491,0.00116021,0.00116021,0.00116021
21,66.8244,0.91922,0.98958,1.22528,0.77954,0.71476,0.8049,0.51194,1.17313,1.33172,1.44903,0.00114606,0.00114606,0.00114606
22,69.8149,0.91242,1.03261,1.21092,0.80654,0.76897,0.82507,0.54616,1.10877,1.12874,1.3982,0.00113191,0.00113191,0.00113191
23,73.0979,0.89229,1.01133,1.20869,0.72662,0.75839,0.8084,0.50443,1.23623,1.22593,1.51196,0.00111776,0.00111776,0.00111776
24,76.2308,0.88172,0.94031,1.1919,0.6882,0.62476,0.67353,0.4301,1.27036,1.48523,1.54582,0.00110362,0.00110362,0.00110362
25,79.2848,0.86723,0.96049,1.17777,0.68854,0.7489,0.76721,0.44762,1.25554,1.31649,1.54479,0.00108947,0.00108947,0.00108947
26,82.3008,0.85527,0.92638,1.1822,0.70813,0.73329,0.77133,0.50479,1.09546,1.18932,1.45764,0.00107532,0.00107532,0.00107532
27,85.1801,0.86664,0.94331,1.20584,0.74588,0.76322,0.81786,0.52082,1.1908,1.18616,1.48375,0.00106118,0.00106118,0.00106118
28,88.1964,0.87141,0.94519,1.19461,0.75361,0.67308,0.74553,0.46073,1.14551,1.33701,1.451,0.00104703,0.00104703,0.00104703
29,90.9885,0.80828,0.91083,1.15315,0.77687,0.73996,0.82799,0.56462,1.04298,1.06436,1.37928,0.00103288,0.00103288,0.00103288
30,93.8525,0.83995,0.87944,1.17034,0.8005,0.75595,0.79476,0.51554,1.15117,1.18493,1.45554,0.00101873,0.00101873,0.00101873
31,96.71,0.84642,0.90642,1.18758,0.84551,0.72862,0.78751,0.53743,1.16807,1.1135,1.46725,0.00100459,0.00100459,0.00100459
32,99.5355,0.82148,0.9153,1.16268,0.90787,0.76196,0.86292,0.57107,1.11807,0.95996,1.41566,0.00099044,0.00099044,0.00099044
33,102.542,0.84417,0.87064,1.1931,0.76601,0.81497,0.85719,0.57778,1.07526,0.96921,1.3819,0.000976293,0.000976293,0.000976293
34,105.475,0.85601,0.90898,1.1777,0.85681,0.83011,0.87589,0.62332,1.02141,0.89474,1.31935,0.000962146,0.000962146,0.000962146
35,108.287,0.83751,0.86728,1.17637,0.76793,0.7056,0.77136,0.47336,1.29114,1.11459,1.62222,0.000947999,0.000947999,0.000947999
36,111.138,0.83909,0.83923,1.15312,0.75978,0.75327,0.8071,0.52195,1.14242,1.05933,1.43404,0.000933851,0.000933851,0.000933851
37,114.022,0.78119,0.79632,1.13217,0.6411,0.73923,0.79942,0.55024,1.07999,1.26597,1.38566,0.000919704,0.000919704,0.000919704
